key_id,pd_number,project_title,start_date,end_date,date_sent,status,amount
K000162343,162343,A systems biology approach to manipulate the spatiotemporal dynamics of lignin degradation in sorghum roots for long-term carbon sequestration,2025-08-01,1930-07-31,2025-03-27,NA,1464975.52
K000162485,162485,Bile Acid Sequestrant Capacity of Pulse Crops in Mediation of Human Health Benefits,2025-08-01,1930-07-31,2025-04-02,NA,501755.53
K000162244,162244,A systems biology approach to understand the spatial metabolic interactions in rhizosphere microbial hotspots of sorghum with enhanced phosphate acquisition,2025-08-01,1930-07-31,2025-04-16,NA,2588142.7
K000161607,161607,Decoding Microbial Pathways to Mitigate Trimethylamine-N-oxide Production and Atherosclerosis Risk,2025-09-01,1930-08-31,2025-04-23,NA,3701656.92
K000162084,162084,BII: EMERGE2: Integrating from Molecules to Landscapes to Decode the Rules of Emergent Ecosystem Response to Change,2025-09-01,1931-08-31,2025-05-12,NA,1608143
K000162827,162827,Determining Mechanisms of Robustness in Organismal Pattern Formation,2026-03-01,1931-02-28,2025-05-29,NA,2117496.69
K000161575,161575,Mechanisms of environment-regulated gene expression,2026-02-01,1931-01-31,2025-05-30,NA,1853757.5
K000162701,162701,"Center: WeM5: Building a Unified Framework for Wetland Monitoring, Modeling, and Management of Methane and Microbes",2026-09-01,1931-08-31,2025-06-30,NA,9754778.7
K000163207,163207,"Advancing sustainable water management in Colorado's mountain agriculture with an innovative, community-driven approach",2025-10-15,1930-06-30,2025-07-14,Funded,879047.47
K000162795,162795,"Leveraging the TAPS platform to Advance Smart, Economic, and Resource Efficient Agriculture through Decision Support and Policy Innovation",2025-12-15,1930-12-14,2025-07-17,NA,299808.54
K000163556,163556,CAREER: Accelerating Biodiversity Science and Enhancing Public Engagement with Automated Arthropod Identification and AI Education,2026-09-01,1931-08-31,2025-08-04,NA,1531431.87
K000163422,163422,CAREER: From stable to STEM - using horses as a bridge between agriculture and STEM,2026-02-01,1931-01-31,2025-09-09,NA,955477.34
K000163779,163779,Field-based diagnostic tools to identify Armillaria species,2025-09-30,1930-09-29,2025-09-16,Funded,43199.62
K000163442,163442,Collaborative Research: Root responses to drought as arbiters of rhizosphere bacterial nitrate respiration during episodic moisture events,2026-08-01,1930-07-31,2025-09-17,NA,383756.95
K000163784,163784,"PARTNERSHIP: Economic Modeling of Trade Policy in Complex Agricultural Supply Chains: Tools for Market Access, Export Competitiveness, and Policy Sequencing",2026-07-01,1930-06-30,2025-09-29,NA,74999.01
K000163889,163889,Gauging Watershed Recovery and Vegetation and Biogeochemical Responses to Post-Fire Management,2025-11-01,1930-10-31,2025-09-29,Funded,499999.55
K000163945,163945,Leveraging adaptive potential of ancient wheats to improve drought resilience of winter wheat cultivars,2026-05-01,1930-04-30,2025-09-29,NA,366618.64
K000163860,163860,A Data Driven Measure of Food Insecurity and It's Implications for Research and Policy,2026-05-01,1930-04-30,2025-10-13,NA,243518.14
K000164230,164230,Leveraging grazing frequency to enhance production and ecosystem services in subtropical pasture,2026-05-01,1930-04-30,2025-10-20,NA,122612.51
K000163997,163997,From Soil Processes to Decision Making: Optimizing Nitrogen Fertilizer Management in Cereal Systems Using High-Throughput Soil Health Assessment,2026-03-01,1930-02-28,2025-10-27,NA,744189.03
K000163714,163714,"Combat meat-borne pathogens by targeting their potential shelter, Pseudomonas spp., in meat fabrication facilities",2026-09-01,1931-08-31,2025-10-27,NA,649130.69
K000164311,164311,DNRA as a novel rhizosphere process mediating plant nitrogen use efficiency,2026-06-01,1930-05-31,2025-10-28,NA,122627.83
K000164375,164375,"Development and deployment of genetic, genomic, and phenomics resources for proso millet breeding",2027-01-01,1930-12-31,2025-10-28,NA,149994.15
K000164172,164172,Quantum Dot-Infused Woven Fabrics for Adaptive Greenhouse Light Management,2026-07-01,1930-06-30,2025-11-10,NA,97265.63
K000163958,163958,Agronomic and microbiome controls on soil nutrient cycling during rice cultivation,2026-03-01,1930-02-28,2025-11-17,NA,424368.16
K000164443,164443,Characterizing pathogenicity factors and interactions among Fusarium spp. to reduce and mitigate disease in conifer nurseries and outplanting sites,2026-06-01,1931-05-31,2025-11-17,NA,749986.9
K000164094,164094,Evaluate Native Plants As Alternative Food Sources For Crop Pollinators On Urban Ecological Island,2026-01-01,1930-12-31,2025-12-04,NA,749704.67
K000163805,163805,Maternal Immune Tolerance And Embryo Development: Defining The Role Of Seminal Plasma In Equine Reproduction,2026-05-01,1930-04-30,2025-12-10,NA,647944.9
K000164442,164442,"Investigating the genetic and molecular factors of pathogenicity in a re-emerging, highly aggressive bacterial disease of cereals",2026-03-01,1930-02-28,2025-12-11,NA,731313.8
K000164377,164377,Enhancing dairy calf welfare and resilience through integrated behavior and animal-based indicators for pain and thermal stress detection,2026-08-01,1930-07-31,2025-12-11,NA,635719.54
K000164044,164044,Myco-Ed: A National Platform Bringing Fungal Genomics to the Biomedical Workforce,2026-07-01,1931-06-30,2025-12-11,NA,503467.45
K000164714,164714,From Endophyte to Enemy: Investigating the emerging pathogenicity of Pantoea in crops to predict and prevent agricultural biosecurity threats,2026-06-01,1930-05-31,2025-12-22,NA,647314.93
K000165081,165081,Mechanisms of environment-regulated gene expression,2027-02-01,1932-01-31,2026-02-17,NA,2014161.98
K000165107,165107,MCA: Unraveling the adaptive role of cannabinoids in insect defense in Cannabis sativa,2027-03-01,1930-02-28,2026-03-03,NA,358955.17
K000165481,165481,"Weeds, Water, and Yield - A Systems Approach to Strengthening Western Irrigated Agriculture",2027-01-01,1931-12-31,2026-03-19,NA,999924.32
K000165351,165351,From Detection to Adoption: A Nationally Coordinated Systems Approach to Protect U.S. Agriculture from the Threat of Herbicide-Resistant Weeds,2026-08-01,1930-07-31,2026-03-19,NA,867609.31
K000165142,165142,White Pine Blister Rust Effects on Western White Pine,2026-07-01,1930-06-30,2026-04-06,Funded,129998.28
K000165521,165521,Systemic investigation of a novel class of plant small antimicrobial proteins in controlling bacterial and fungal diseases in crops,2027-02-01,1932-01-31,2026-04-07,NA,825733.96
K000165679,165679,The Intersect between Immunity and Development,2026-11-01,1930-10-31,2026-04-17,NA,1311949.94
K000165490,165490,"Project PRIME: Precision, Resilient, Integrated Molecular Engineering for U.S. Rice",2026-08-01,1931-07-31,2026-04-21,NA,778272.59
K000165245,165245,Hydrology-EW-SOM coupling: the role of hydrology insteering enhanced weathering and its interaction with organic matter dynamics,2027-01-01,1930-12-31,2026-04-21,NA,63800.43
K000165580,165580,Expanding COMET tools to Assess Regenerative Agriculture Outcomes,2026-04-01,1930-03-31,2026-04-27,Funded,2849998.66
K000165815,165815,IMPROVED MANAGEMENT OF TRANSITION COWS IN ORGANIC DAIRY FARMS,2026-09-01,1930-08-31,2026-05-12,NA,530318.56
K000165799,165799,Genomics Enabled Breeding of FHB Resistance Traits,2026-05-01,1930-04-30,2026-05-18,Funded,57887.17
K000165928,165928,Optimizing Organic Nutrient Management and Stakeholder Education in the Semi-Arid USA,2026-09-01,1930-08-31,2026-06-02,NA,3431969.35
K000166200,166200,Enhancing soil health and agricultural sustainability through novel control strategies for managing perennial invasive weeds,2026-09-01,1930-08-31,2026-06-03,NA,868762.95
K000166128,166128,Determining mechanisms of robustness in organismal pattern formation,2027-04-01,1932-03-31,2026-06-03,NA,2106093.55
K000165829,165829,Modulating Arthropod Pests And Natural Enemies With Biopesticides To Increase The Profitability Of Organic Hemp Production,2027-06-01,1930-05-31,2026-06-03,NA,998208.1
K000165669,165669,"Resilient Organic Systems for the West: Data-Driven Solutions for Enhanced Production, Storage, and Economic Vitality in Potatoes and Onions",2026-09-01,1930-08-31,2026-06-12,NA,3485160.93
K000166457,166457,Mechanisms of Bean-Derived Substrate Metabolism by the Human Gut Microbiome: A Controlled Crossover Feeding Study,2027-07-13,1930-07-12,2026-06-18,NA,1153492.26
K000166671,166671,From Soil to Supper: Acquisition of a High-Resolution Q-TOF Mass Spectrometer to Enable Systems-Level Agricultural Research,2026-09-01,1930-08-01,2026-06-30,NA,499633.64
K000166411,166411,Collaborative Monitoring of Innovative Regenerative Agricultural Practices in the Arkansas River Valley,2027-01-01,1931-12-31,2026-06-30,NA,2319582.43
K000164962,164962,The Evolutionary Fate and Phenotypic Effect of Duplicate Gene Models,2026-09-01,1931-08-31,2026-06-30,NA,2096537.9
K000166173,166173,"Harnessing Early-Life Probiotic Interventions for Sustainable Beef and Dairy Production: Long-Term Effects on Methane Emissions, Microbiome Establishment, Health, and Performance",2027-03-01,1930-02-28,2026-07-21,NA,1998260.56
K000166803,166803,Morocco - Slaughterhouse and Cold Storage in the Red Meat Value Chain,2026-10-01,1931-09-30,2026-07-21,NA,505812.04
